Nombre,Tipo de dato,Descripción
ID_TIPO_BIEN,integer,Identificador único de tipo de bien
NAME,varchar,"Identificar si corresponde a que tipo de bien ( estacionamiento,bodega, departamento)"
ENUM_VALUE,varchar,"Identificar si corresponde a que tipo de bien ( estacionamiento,bodega, departamento)"
IS_PRIMARY,Boolean,responde a la pregunta si es un bien principal o secundario.
ACTIVE,Boolean,corresponde si el tipo de bien esta activo o inactivo
ORDEN,integer,orden establecido del tipo de bien
ID_EMPRESA,integer,identificador único de empresa
